Sensor,Date_Time,Date,Time,Count
Bourke Street Mall (North),2018-12-01 00:00:00,2018-12-01,0,432
Bourke Street Mall (South),2018-12-01 00:00:00,2018-12-01,0,233
Melbourne Central,2018-12-01 00:00:00,2018-12-01,0,1082
Town Hall (West),2018-12-01 00:00:00,2018-12-01,0,906
Princes Bridge,2018-12-01 00:00:00,2018-12-01,0,445
Flinders Street Station Underpass,2018-12-01 00:00:00,2018-12-01,0,1010
Birrarung Marr,2018-12-01 00:00:00,2018-12-01,0,100
Webb Bridge,2018-12-01 00:00:00,2018-12-01,0,52
Southern Cross Station,2018-12-01 00:00:00,2018-12-01,0,83
Victoria Point,2018-12-01 00:00:00,2018-12-01,0,28
Waterfront City,2018-12-01 00:00:00,2018-12-01,0,26
New Quay,2018-12-01 00:00:00,2018-12-01,0,133
Flagstaff Station,2018-12-01 00:00:00,2018-12-01,0,NA
Sandridge Bridge,2018-12-01 00:00:00,2018-12-01,0,448
State Library,2018-12-01 00:00:00,2018-12-01,0,315
Collins St (North),2018-12-01 00:00:00,2018-12-01,0,204
Collins Place (South),2018-12-01 00:00:00,2018-12-01,0,73
Collins Place (North),2018-12-01 00:00:00,2018-12-01,0,64
Chinatown-Swanston St (North),2018-12-01 00:00:00,2018-12-01,0,490
Chinatown-Lt Bourke St (South),2018-12-01 00:00:00,2018-12-01,0,495
Bourke St-Russell St (West),2018-12-01 00:00:00,2018-12-01,0,836
Flinders St-Elizabeth St (East),2018-12-01 00:00:00,2018-12-01,0,1116
Spencer St-Collins St (South),2018-12-01 00:00:00,2018-12-01,0,104
Spencer St-Collins St (North),2018-12-01 00:00:00,2018-12-01,0,490
Melbourne Convention Exhibition Centre,2018-12-01 00:00:00,2018-12-01,0,528
QV Market-Elizabeth St (West),2018-12-01 00:00:00,2018-12-01,0,278
QV Market-Peel St,2018-12-01 00:00:00,2018-12-01,0,51
The Arts Centre,2018-12-01 00:00:00,2018-12-01,0,271
St Kilda Rd-Alexandra Gardens,2018-12-01 00:00:00,2018-12-01,0,118
Lonsdale St (South),2018-12-01 00:00:00,2018-12-01,0,730
Lygon St (West),2018-12-01 00:00:00,2018-12-01,0,241
City Square,2018-12-01 00:00:00,2018-12-01,0,NA
Flinders St-Spring St (West),2018-12-01 00:00:00,2018-12-01,0,47
Flinders St-Spark La,2018-12-01 00:00:00,2018-12-01,0,46
Southbank,2018-12-01 00:00:00,2018-12-01,0,925
Queen St (West),2018-12-01 00:00:00,2018-12-01,0,505
Lygon St (East),2018-12-01 00:00:00,2018-12-01,0,48
Flinders St-Swanston St (West),2018-12-01 00:00:00,2018-12-01,0,310
Alfred Place,2018-12-01 00:00:00,2018-12-01,0,NA
Lonsdale St-Spring St (West),2018-12-01 00:00:00,2018-12-01,0,83
Grattan St-Swanston St (West),2018-12-01 00:00:00,2018-12-01,0,NA
Monash Rd-Swanston St (West),2018-12-01 00:00:00,2018-12-01,0,4
Tin Alley-Swanston St (West),2018-12-01 00:00:00,2018-12-01,0,8
Bourke Street Mall (North),2018-12-01 01:00:00,2018-12-01,1,217
Bourke Street Mall (South),2018-12-01 01:00:00,2018-12-01,1,113
Melbourne Central,2018-12-01 01:00:00,2018-12-01,1,636
Town Hall (West),2018-12-01 01:00:00,2018-12-01,1,521
Princes Bridge,2018-12-01 01:00:00,2018-12-01,1,198
Flinders Street Station Underpass,2018-12-01 01:00:00,2018-12-01,1,695
Birrarung Marr,2018-12-01 01:00:00,2018-12-01,1,26
Webb Bridge,2018-12-01 01:00:00,2018-12-01,1,20
Southern Cross Station,2018-12-01 01:00:00,2018-12-01,1,39
Victoria Point,2018-12-01 01:00:00,2018-12-01,1,16
Waterfront City,2018-12-01 01:00:00,2018-12-01,1,6
New Quay,2018-12-01 01:00:00,2018-12-01,1,38
Flagstaff Station,2018-12-01 01:00:00,2018-12-01,1,NA
Sandridge Bridge,2018-12-01 01:00:00,2018-12-01,1,207
State Library,2018-12-01 01:00:00,2018-12-01,1,208
Collins St (North),2018-12-01 01:00:00,2018-12-01,1,78
Collins Place (South),2018-12-01 01:00:00,2018-12-01,1,42
Collins Place (North),2018-12-01 01:00:00,2018-12-01,1,23
Chinatown-Swanston St (North),2018-12-01 01:00:00,2018-12-01,1,303
Chinatown-Lt Bourke St (South),2018-12-01 01:00:00,2018-12-01,1,302
